ATA_System	Compon_Code	Last_Change_Date	Compon_Name	Seg_Code	Seg_Suff	Severity_Factor
5743	    	06/28/1991	LANDING GEAR (FITTING ON WING)	1	1	4
5744	    	06/28/1991	CONT SURFACE (FITTING ON WING)	1	1	4
5750	    	06/28/1991	FLIGHT SURFACES (WING)        	1	1	4
5751	    	06/28/1991	AILERONS                      	1	1	2
5752	    	06/28/1991	AILERON TABS                  	1	1	1
5753	    	06/28/1991	TRAILING EDGE FLAPS           	1	1	1
5754	    	06/28/1991	LEADING EDGE DEVICES          	1	1	1
5755	    	06/28/1991	SPOILERS                      	1	1	1
5797	    	04/19/2001	WING WIRING                   	1	1	4
6100	    	06/28/1991	PROPELLER SYSTEM              	1	1	1
6110	    	06/28/1991	PROPELLER ASSEMBLY            	3	3	4
6111	    	06/28/1991	PROPELLER BLADE SECTION       	3	3	4
6112	    	03/04/1993	PROP DEICE BOOT SECTION       	3	3	3
6113	    	06/28/1991	PROP/SPINNER SECTION          	4	5	1
6114	    	06/28/1991	PROPELLER HUB SECTION         	3	3	4
6120	    	06/28/1991	PROPELLER CONTROLLING SYSTEM  	1	1	3
6121	    	06/28/1991	PROP SYNCHRONIZER SECTION     	1	1	3
6122	    	06/28/1991	PROPELLER GOVERNOR            	4	5	3
6123	    	06/28/1991	PROPELLER FEATHER/REVERSING   	1	1	3
6130	    	06/28/1991	PROPELLER BRAKING             	1	1	1
6140	    	03/04/1993	PROPELLER INDICATING SYSTEM   	3	1	1
6197	    	04/19/2001	PROPELLER/PROPULSOR WIRE      	3	3	4
6200	    	06/28/1991	MAIN ROTOR SYSTEM             	1	1	4
6210	    	06/28/1991	MAIN ROTOR BLADE SYSTEM       	1	1	5
6220	    	06/28/1991	MAIN ROTOR HEAD SYSTEM        	1	1	5
6230	    	06/28/1991	MAIN ROTOR MAST/SWASHPLATE    	1	1	5
6240	    	06/28/1991	MAIN ROTOR INDICATING SYSTEM  	1	1	5
6297	    	04/19/2001	MAIN ROTOR SYS WIRING         	1	1	5
6300	    	06/28/1991	MAIN ROTOR DRIVE              	1	1	4
6310	    	06/28/1991	ENGINE/TRANSMISSION COUPLING  	1	1	5
6320	    	06/28/1991	MAIN ROTOR GEARBOX            	1	1	5
6321	    	06/28/1991	MAIN ROTOR BRAKE              	1	1	3
6322	    	06/28/1991	ROTORCRAFT COOLING FAN SYSTEM 	1	1	3
6330	    	06/28/1991	MAIN ROTOR TRANS MOUNT        	1	1	2
6340	    	06/28/1991	ROTOR/DRIVE INDICATING SYSTEM 	1	1	1
6397	    	04/19/2001	MAIN ROTOR DRIVE WIRING       	1	1	4
6400	    	06/28/1991	TAIL ROTOR                    	1	1	4
6410	    	06/28/1991	TAIL ROTOR BLADE              	1	1	5
6420	    	06/28/1991	TAIL ROTOR HEAD               	1	1	5
6440	    	06/28/1991	TAIL ROTOR INDICATING SYSTEM  	1	1	4
6497	    	04/19/2001	T/R SYS WIRING                	1	1	4
6500	    	06/28/1991	TAIL ROTOR DRIVE SYSTEM       	1	1	4
6510	    	06/28/1991	TAIL ROTOR DRIVE SHAFT        	1	1	5
6520	    	06/28/1991	TAIL ROTOR GEARBOX            	1	1	5
6540	    	06/28/1991	TAIL ROTOR DRIVE IND SYSTEM   	1	1	4
6597	    	04/19/2001	T/R DRIVE SYS WIRING          	1	1	5
6700	    	06/28/1991	ROTORCRAFT FLIGHT CONTROL     	1	1	4
6710	    	06/28/1991	MAIN ROTOR CONTROL            	1	1	5
6711	    	06/28/1991	TILT ROTOR FLIGHT CONTROL     	1	1	4
6720	    	06/28/1991	TAIL ROTOR CONTROL SYSTEM     	1	1	5
6730	    	06/28/1991	ROTORCRAFT SERVO SYSTEM       	1	1	3
6797	    	04/19/2001	ROTORS FLT CNTL SYS WIRE      	1	1	4
7100	    	06/28/1991	POWER PLANT                   	1	1	1
7110	    	06/28/1991	ENGINE COWLING SYSTEM         	1	1	5
7111	    	06/28/1991	COWL FLAP SYSTEM (RECIP. ONLY)	1	1	2
7112	    	06/28/1991	ENG AIR BAFFLE SEC (RECIP.)   	1	1	2
7120	    	06/28/1991	MOUNTS                        	1	1	2
7130	    	06/28/1991	FIRESEALS                     	1	1	1
7160	    	06/28/1991	AIR INTAKE                    	1	1	5
7170	    	06/28/1991	ENGINE DRAINS                 	1	1	1
7197	    	04/19/2001	POWERPLANT WIRING             	1	1	3
7200	    	06/28/1991	ENGINE (TURBINE/TURBOPROP)    	2	2	5
7210	    	06/28/1991	REDUCTION GEAR AND SHAFT      	2	2	2
7220	    	06/28/1991	AIR INLET SECTION (CORE ENG)  	2	2	5
7230	    	06/28/1991	COMPRESSOR SECTION            	2	2	5
7240	    	06/28/1991	COMBUSTION SECTION            	2	2	3
7250	    	06/28/1991	TURBINE SECTION               	2	2	2
7260	    	06/28/1991	ACCESSORY DRIVES              	2	2	2
7261	    	06/28/1991	OIL SYSTEM                    	2	2	2
7270	    	06/28/1991	BYPASS SECTION                	2	2	1
7297	    	04/19/2001	TURB ENG WIRING               	2	2	4
7300	    	06/28/1991	ENGINE FUEL AND CONTROL       	2	2	1
7310	    	06/28/1991	FUEL DISTRIBUTION             	2	2	2
7311	    	06/28/1991	FUEL OIL COOLER               	2	2	2
7312	    	06/28/1991	FUEL HEATER                   	1	1	2
7313	    	06/28/1991	FUEL INJECTOR NOZZLE          	2	2	2
7314	    	06/28/1991	FUEL PUMP                     	2	2	2
7320	    	06/28/1991	FUEL CONTROLLING SYSTEM       	2	2	4
7321	    	06/28/1991	FUEL CONTROL ELECTRONIC       	2	2	4
7322	    	06/28/1991	FUEL CONTROL/CARBURETOR       	2	2	4
7323	    	06/28/1991	TURBINE GOVERNOR              	2	2	4
7324	    	06/28/1991	FUEL DIVIDER                  	2	2	2
7330	    	06/28/1991	FUEL INDICATING SYSTEM        	1	1	1
7331	    	06/28/1991	FUEL FLOW INDICATING          	1	1	1
7332	    	06/28/1991	FUEL PRESSURE INDICATING      	1	1	1
7333	    	06/28/1991	FUEL FLOW SENSOR              	1	1	1
7334	    	06/28/1991	FUEL PRESS SENSOR             	1	1	1
7397	    	04/19/2001	ENG FUEL SYS WIRING           	2	2	3
7400	    	06/28/1991	IGNITION SYSTEM               	1	1	4
7410	    	06/28/1991	IGNITION POWER SUPPLY         	1	1	4
7411	    	06/28/1991	LOW TENSION COIL              	2	5	4
7412	    	06/28/1991	EXCITER                       	2	5	4
7413	    	06/28/1991	INDUCTION VIBRATOR            	2	5	4
7414	    	06/28/1991	MAGNETO/DISTRIBUTOR           	2	5	4
7420	    	06/28/1991	DIST (IGNITION HARNESS)       	2	5	4
7421	    	06/28/1991	SPARK PLUGS/IGNITERS          	2	5	4
7430	    	06/28/1991	SWITCHING                     	1	5	4
7497	    	04/19/2001	ING SYS WIRING                	2	5	4
7500	    	06/28/1991	ENGINE BLEED AIR SYSTEM       	1	1	1
7510	    	06/28/1991	ENGINE ANTI-ICING SYSTEM      	2	2	2
7520	    	03/04/1993	ENGINE COOLING SYSTEM         	2	1	2
7530	    	06/28/1991	COMPRESSOR BLEED CONTROL      	2	2	1
7531	    	06/28/1991	COMPRESSOR BLEED GOVERNOR     	2	2	1
7532	    	06/28/1991	COMPRESSOR BLEED VALVE        	2	2	1
7540	    	06/28/1991	INDICATING SYSTEM             	1	1	1
7597	    	04/19/2001	AIR SYS WIRING                	2	2	1
7600	    	06/28/1991	ENGINE CONTROLS               	1	1	1
7601	    	06/28/1991	ENGINE SYNCHRONIZING          	1	1	3
7602	    	06/28/1991	MIXTURE CONTROL               	1	1	4
7603	    	06/28/1991	POWER LEVER                   	1	1	4
7620	    	06/28/1991	EMERGENCY SHUTDOWN SYSTEM     	1	1	1
7697	    	04/19/2001	ENG CNTL SYS WIRING           	1	1	2
7700	    	06/28/1991	ENGINE INDICATING SYSTEM      	1	1	1
7710	    	06/28/1991	POWER INDICATING SYSTEM       	1	1	1
7711	    	06/28/1991	ENGINE PRESSURE RATIO (EPR)   	1	1	1
7712	    	06/28/1991	BMEP/TORQUE                   	1	1	1
7713	    	06/28/1991	MANIFOLD PRESSURE (MP)        	1	1	1
7714	    	06/28/1991	RPM                           	1	1	2
7720	    	06/28/1991	TEMPERATURE INDICATING SYSTEM 	1	1	1
7721	    	06/28/1991	CYLINDER HEAD TEMP (CHT)      	1	1	1
7722	    	06/28/1991	EGT/TIT                       	1	1	1
7730	    	06/28/1991	ANALYZERS                     	1	1	1
7731	    	06/28/1991	IGNITION ANALYZER             	1	1	1
7732	    	06/28/1991	VIBRATION ANALYZER            	1	1	1
7740	    	06/28/1991	INTEGRATED ENGINE INST SYSTEM 	1	1	1
7797	    	04/19/2001	ENG IND SYS WIRING            	1	1	2
7800	    	06/28/1991	ENGINE EXHAUST                	1	1	1
7810	    	06/28/1991	COLLECTOR/NOZZLE              	1	1	3
7820	    	06/28/1991	NOISE SUPPRESSOR              	1	1	2
7830	    	06/28/1991	THRUST REVERSER               	1	1	1
7897	    	04/19/2001	ENG EXHST SYS WIRING          	1	1	1
7900	    	06/28/1991	ENG OIL SYS (AIRFRAME FURNISH)	1	1	1
7910	    	06/28/1991	OIL STORAGE (AIRFRAME FURNISH)	1	1	2
7920	    	06/28/1991	ENG OIL DIST (AIRFRAME FURN)  	1	1	3
7921	    	06/28/1991	COOLER                        	1	1	3
7922	    	06/28/1991	TEMPERATURE REGULATOR         	1	1	3
7923	    	06/28/1991	OFF VALVE                     	1	1	3
7930	    	06/28/1991	ENGINE OIL INDICATING SYSTEM  	1	1	2
7931	    	06/28/1991	PRESSURE                      	1	1	2
7932	    	06/28/1991	QUANTITY                      	1	1	2
7933	    	06/28/1991	TEMPERATURE                   	1	1	1
7997	    	04/19/2001	ENG OIL SYS WIRING            	1	1	3
8000	    	06/28/1991	ENGINE STARTING               	1	1	1
8010	    	06/28/1991	CRANKING                      	1	1	1
8011	    	06/28/1991	STARTER                       	1	1	1
8012	    	06/28/1991	VALVES/CONTROLS               	1	1	1
8097	    	04/19/2001	ENG START SYS WIRING          	1	1	1
8100	    	06/28/1991	TURBINE SYSTEM (RECIP. ONLY)  	1	1	1
8110	    	06/28/1991	POWER RECOVERY TURBINE        	1	1	1
8120	    	06/28/1991	TURBO/SUPERCHARGER            	1	1	2
8197	    	04/19/2001	TURBOCHARG SYS WIRING         	1	1	2
8200	    	06/28/1991	WATER INJECTION               	1	1	1
8297	    	04/19/2001	WATER INJ SYS WIRING          	1	1	1
8300	    	06/28/1991	ACCESSORY GEAR-BOXES          	4	5	1
8397	    	04/19/2001	ASSY G/B WIRING               	4	5	1
8500	    	06/28/1991	ENGINE (RECIPROCATING)        	2	2	5
8510	    	04/19/2001	RECIP ENG FRONT SECTION       	2	2	2
8520	    	04/19/2001	RECIP ENG PWR SECTION         	2	2	5
8530	    	04/19/2001	RECIP ENG CYL SECTION         	2	2	5
8540	    	04/19/2001	RECIP ENG REAR SECTION        	2	2	3
8550	    	04/19/2001	RECIP ENG OIL SYS             	2	2	2
8560	    	04/20/2001	RECIP ENG SUPERCHARGER        	2	2	4
8570	    	05/02/2001	RECIP ENG LIQUID COOLING      	2	2	2
8597	    	04/19/2001	RECIP ENG WIRING              	2	2	3
